# Roblox Asset IDs
# Format: filename : rbxassetid://ID

accessibility_256x256 : rbxassetid://109187029130546
activity-log_256x256 : rbxassetid://74266451306720
align-baseline_256x256 : rbxassetid://74183010239922
align-bottom_256x256 : rbxassetid://70970652914953
align-center-horizontally_256x256 : rbxassetid://91311770112630
align-center-vertically_256x256 : rbxassetid://111831314517929
align-left_256x256 : rbxassetid://86277089036019
align-right_256x256 : rbxassetid://82100345675169
align-top_256x256 : rbxassetid://107023380662765
all-sides_256x256 : rbxassetid://85650160698368
angle_256x256 : rbxassetid://97048629583084
archive_256x256 : rbxassetid://84921748148232
arrow-bottom-left_256x256 : rbxassetid://117364775911884
arrow-bottom-right_256x256 : rbxassetid://125294415919185
arrow-down_256x256 : rbxassetid://74637340973621
arrow-left_256x256 : rbxassetid://95484789883676
arrow-right_256x256 : rbxassetid://72705907693243
arrow-top-left_256x256 : rbxassetid://101547199285942
arrow-top-right_256x256 : rbxassetid://107822065965222
arrow-up_256x256 : rbxassetid://139138525546025
aspect-ratio_256x256 : rbxassetid://73851882108085
avatar_256x256 : rbxassetid://131296475824155
backpack_256x256 : rbxassetid://102322148478798
badge_256x256 : rbxassetid://136940458009087
bar-chart_256x256 : rbxassetid://95260627960414
bell_256x256 : rbxassetid://73091340382838
blending-mode_256x256 : rbxassetid://100147220732645
bookmark-filled_256x256 : rbxassetid://76765914552018
bookmark_256x256 : rbxassetid://77397437689701
border-all_256x256 : rbxassetid://81621675174842
border-bottom_256x256 : rbxassetid://105163850242955
border-dashed_256x256 : rbxassetid://128323267706584
border-dotted_256x256 : rbxassetid://104784358834130
border-left_256x256 : rbxassetid://116919466963500
border-none_256x256 : rbxassetid://114649378267824
border-right_256x256 : rbxassetid://97086684578590
border-solid_256x256 : rbxassetid://77504794156917
border-split_256x256 : rbxassetid://133967381853936
border-style_256x256 : rbxassetid://123847111445396
border-top_256x256 : rbxassetid://136367053180423
border-width_256x256 : rbxassetid://74204626615178
box-model_256x256 : rbxassetid://93523442255300
box_256x256 : rbxassetid://104871232578341
button_256x256 : rbxassetid://115392376766988
calendar_256x256 : rbxassetid://80619418032796
camera_256x256 : rbxassetid://108105113293491
card-stack-minus_256x256 : rbxassetid://70846478334392
card-stack-plus_256x256 : rbxassetid://132552773100658
card-stack_256x256 : rbxassetid://140680259978019
caret-down_256x256 : rbxassetid://140062391491673
caret-left_256x256 : rbxassetid://134567640233783
caret-right_256x256 : rbxassetid://134532675857600
caret-sort_256x256 : rbxassetid://119663803341484
caret-up_256x256 : rbxassetid://109923115420797
chat-bubble_256x256 : rbxassetid://111037607484390
check-circled_256x256 : rbxassetid://109969715613335
checkbox_256x256 : rbxassetid://74341463676727
check_256x256 : rbxassetid://112055175771712
chevron-down_256x256 : rbxassetid://84943167918420
chevron-left_256x256 : rbxassetid://129878891615647
chevron-right_256x256 : rbxassetid://107730842937250
chevron-up_256x256 : rbxassetid://96782125528789
circle-backslash_256x256 : rbxassetid://97205208781029
circle_256x256 : rbxassetid://94550878391680
clipboard-copy_256x256 : rbxassetid://131943721884827
clipboard_256x256 : rbxassetid://131233898094977
clock_256x256 : rbxassetid://123622947846549
codesandbox-logo_256x256 : rbxassetid://118554411755270
code_256x256 : rbxassetid://106414261900031
color-wheel_256x256 : rbxassetid://103241481298725
column-spacing_256x256 : rbxassetid://119050101936893
columns_256x256 : rbxassetid://87243768845212
commit_256x256 : rbxassetid://138370660387488
component-1_256x256 : rbxassetid://90413789562164
component-2_256x256 : rbxassetid://123737078165802
component-boolean_256x256 : rbxassetid://97098728746449
component-instance_256x256 : rbxassetid://76079502262028
component-none_256x256 : rbxassetid://115852344584479
component-placeholder_256x256 : rbxassetid://100883887829125
container_256x256 : rbxassetid://73998444057810
cookie_256x256 : rbxassetid://74499604672361
copy_256x256 : rbxassetid://71075188736960
corner-bottom-left_256x256 : rbxassetid://92903865348027
corner-bottom-right_256x256 : rbxassetid://132169047011952
corner-top-left_256x256 : rbxassetid://139629718090115
corner-top-right_256x256 : rbxassetid://123166139739187
corners_256x256 : rbxassetid://121197424332993
countdown-timer_256x256 : rbxassetid://133497159280702
counter-clockwise-clock_256x256 : rbxassetid://99570615827498
crop_256x256 : rbxassetid://83362809967656
cross-1_256x256 : rbxassetid://103469834740951
cross-2_256x256 : rbxassetid://131611227070300
cross-circled_256x256 : rbxassetid://132948061195895
crosshair-1_256x256 : rbxassetid://107265484863911
crosshair-2_256x256 : rbxassetid://113292485209596
crumpled-paper_256x256 : rbxassetid://79861930451055
cube_256x256 : rbxassetid://101819339499459
cursor-arrow_256x256 : rbxassetid://139340061568311
cursor-text_256x256 : rbxassetid://85828658775308
dashboard_256x256 : rbxassetid://103139096151270
dash_256x256 : rbxassetid://73667486171835
database_256x256 : rbxassetid://96998534399142
desktop_256x256 : rbxassetid://127848586435507
dimensions_256x256 : rbxassetid://88229189934866
discord-logo_256x256 : rbxassetid://92140734334991
disc_256x256 : rbxassetid://97878671416885
divider-horizontal_256x256 : rbxassetid://116889735809919
divider-vertical_256x256 : rbxassetid://120281135287092
dot-filled_256x256 : rbxassetid://116651898291434
dots-horizontal_256x256 : rbxassetid://121347382450391
dots-vertical_256x256 : rbxassetid://73259072860238
dot_256x256 : rbxassetid://89397856836540
double-arrow-down_256x256 : rbxassetid://92331562410635
double-arrow-left_256x256 : rbxassetid://97662420097894
double-arrow-right_256x256 : rbxassetid://78308106314664
double-arrow-up_256x256 : rbxassetid://108057275951429
download_256x256 : rbxassetid://120309410808575
drag-handle-dots-1_256x256 : rbxassetid://81421428147790
drag-handle-dots-2_256x256 : rbxassetid://128200841988614
drag-handle-horizontal_256x256 : rbxassetid://138504241045251
drag-handle-vertical_256x256 : rbxassetid://104084701947419
drawing-pin-filled_256x256 : rbxassetid://114367470916574
drawing-pin_256x256 : rbxassetid://108639454647887
dropdown-menu_256x256 : rbxassetid://105205638158588
enter-full-screen_256x256 : rbxassetid://117405372048493
enter_256x256 : rbxassetid://95552843760919
envelope-closed_256x256 : rbxassetid://137457831540880
